HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_DE_VEHICULOS_DANADOS,DISTRITO,ZONA,TIPO_DE_VIA,RED_VIAL,EXISTE_CICLOVIA,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_DE_VIA,PERFIL_LONGITUDINAL_VIA,SUPERFICIE_DE_CALZADA,SENALIZACION,DIA_DE_LA_SEMANA,MES,PERIODO_DEL_DIA,FERIADO,ACCIDENTE,FECHA_SINIESTRO
20,5,1,14,0,0,2,0,0,0,0,0,1,0,6,7,2,0,1,2022-07-24
19,1,1,25,0,0,2,0,0,0,0,0,1,0,0,12,2,0,1,2021-12-13
21,1,1,10,1,0,2,0,0,2,0,0,1,0,3,10,2,0,1,2021-10-21
8,2,1,5,1,1,1,0,0,3,0,0,1,0,0,10,3,0,0,
6,1,1,15,1,1,1,1,0,3,1,0,1,0,6,9,0,0,1,2021-09-05
8,0,1,21,0,0,2,0,0,0,0,0,1,0,0,8,3,0,0,
15,0,1,69,0,0,2,0,0,0,0,0,1,0,2,9,1,0,0,
20,2,1,2,1,0,2,0,0,1,0,0,1,0,5,11,2,0,0,
15,2,1,46,1,0,2,0,0,2,0,0,1,1,2,8,1,0,1,2023-08-16
11,5,1,37,1,0,2,0,0,0,0,0,1,0,3,11,3,0,0,
0,0,1,7,1,0,2,0,0,2,0,1,1,0,5,11,2,0,0,
22,1,1,30,1,1,1,0,0,2,0,0,1,0,1,7,2,0,1,2022-07-05
22,1,1,19,1,1,1,1,0,2,0,0,1,1,0,12,2,0,0,
23,1,1,23,1,1,1,0,0,2,1,0,1,0,4,9,2,0,0,
17,7,1,63,1,1,1,0,0,3,0,1,4,0,3,9,1,0,1,2023-09-14
15,1,1,7,1,1,1,0,3,4,0,0,1,0,5,8,1,0,1,2021-08-14
23,5,1,21,1,0,2,0,0,3,0,0,1,0,4,11,2,0,0,
18,1,1,26,1,1,1,0,0,2,1,0,1,0,3,4,1,0,1,2023-04-27
17,1,1,37,1,0,3,0,0,2,1,0,1,0,5,8,1,0,1,2022-08-13
10,1,1,26,1,5,1,0,0,3,1,0,1,0,2,5,3,0,1,2023-05-03
21,5,1,36,1,0,2,0,0,3,0,0,1,0,1,2,2,0,0,
20,2,1,12,1,1,1,1,0,3,0,0,1,0,5,10,2,0,1,2021-10-09
3,2,1,35,1,1,1,0,0,2,1,0,1,1,6,7,0,0,1,2023-07-16
12,5,1,74,0,0,2,0,0,2,0,0,1,1,0,2,0,1,0,
10,1,1,26,1,1,1,0,0,2,0,0,1,0,6,1,3,0,0,
6,2,1,29,1,0,2,0,0,3,0,0,1,0,0,11,0,0,0,
23,4,1,20,1,1,1,0,0,1,0,0,2,0,6,6,2,0,1,2021-06-06
4,2,2,5,1,1,1,1,0,2,1,0,1,0,3,8,0,0,1,2022-08-11
13,0,1,17,0,0,2,0,0,1,1,0,1,0,1,6,1,0,0,
16,0,1,40,0,0,2,0,2,0,5,0,1,1,6,1,1,0,0,
18,2,2,17,1,0,2,0,0,3,1,0,1,1,6,3,1,0,1,2022-03-27
9,2,1,33,1,1,1,1,0,2,0,0,1,0,4,7,3,0,0,
2,2,1,41,0,0,2,0,3,0,0,0,1,0,6,10,3,0,0,
22,1,1,15,1,0,2,0,0,1,0,0,1,0,5,10,2,0,0,
19,1,1,6,1,5,1,0,0,1,0,0,1,0,0,4,2,0,0,
21,2,1,2,1,1,1,0,0,2,1,0,1,0,6,10,2,0,1,2022-10-30
3,2,1,30,1,0,2,0,0,0,0,0,1,0,4,10,0,0,0,
21,1,1,18,1,1,1,0,0,2,0,0,1,0,4,8,2,0,0,
22,5,1,30,1,0,2,0,0,2,2,1,1,0,1,4,2,0,0,
6,2,1,1,0,4,1,0,0,0,0,0,1,0,3,10,0,0,0,
1,5,1,46,0,0,2,0,0,0,0,0,1,0,0,6,2,0,1,2022-06-27
6,1,1,37,1,1,1,0,0,1,0,0,1,0,3,1,0,0,1,2021-01-14
17,2,3,33,0,0,2,0,0,2,0,0,1,0,0,12,1,0,0,
7,0,1,23,1,6,1,0,0,2,1,1,1,0,6,12,3,0,0,
11,1,1,35,1,5,1,0,0,2,0,0,1,0,3,2,3,0,1,2023-02-16
17,0,1,10,1,0,2,0,0,1,0,0,1,0,4,11,1,0,0,
12,1,1,30,1,1,1,0,0,3,0,0,1,0,0,6,3,0,0,
9,1,1,26,0,0,0,0,0,0,0,0,1,0,0,6,3,0,1,2022-06-06
15,2,1,15,1,1,1,0,0,4,0,0,1,0,1,6,1,0,1,2022-06-21
18,0,1,24,1,0,0,0,0,2,1,0,4,0,1,4,1,1,0,
18,0,1,37,1,1,1,0,0,2,1,0,1,0,5,11,1,0,1,2021-11-13
3,2,1,20,1,0,2,0,0,4,0,0,1,1,2,6,0,0,1,2023-06-07
20,1,1,24,1,0,2,0,0,3,0,0,1,0,1,2,2,0,1,2021-02-09
18,5,1,9,1,1,1,1,0,3,0,0,1,0,3,4,1,0,0,
12,1,1,60,1,1,1,0,0,2,1,0,1,1,2,1,3,0,0,
16,0,1,12,0,0,2,0,0,0,0,0,1,0,1,11,1,1,0,
12,2,2,21,0,0,2,0,0,0,0,0,1,0,5,8,3,0,0,
11,2,2,5,0,0,2,0,0,0,0,0,1,1,5,3,3,0,0,
22,4,1,26,1,1,1,0,0,2,0,0,1,0,3,3,2,0,1,2023-03-16
18,1,1,7,1,1,1,0,0,2,1,0,1,0,0,3,1,0,1,2022-03-07
4,5,1,56,0,0,2,0,0,0,0,0,1,0,6,8,0,0,1,2022-08-07
7,1,1,24,1,1,1,0,0,3,0,0,1,0,4,2,3,0,1,2021-02-26
1,0,1,4,1,0,2,0,0,1,0,0,1,1,5,1,2,0,1,2023-01-21
6,2,1,4,0,6,1,0,0,0,0,0,1,0,3,10,0,0,1,2023-10-12
18,2,2,26,1,4,1,0,0,3,0,1,1,0,5,5,1,0,1,2021-05-29
20,1,1,0,1,1,1,0,0,1,0,0,1,0,2,2,2,0,0,
15,0,1,64,0,0,2,0,0,0,0,1,1,1,5,8,1,0,1,2022-08-13
12,2,1,30,1,0,2,0,0,1,0,0,1,0,1,5,3,1,0,
6,0,1,4,1,0,2,0,0,2,0,0,1,0,6,3,0,0,0,
5,5,1,7,1,0,2,0,0,2,0,0,1,0,6,3,0,0,0,
10,4,1,5,1,1,1,0,0,2,0,0,1,0,6,8,3,0,0,
1,5,1,15,1,0,2,0,0,2,0,0,1,0,4,10,2,0,1,2023-10-27
6,2,1,3,1,1,1,0,0,2,1,0,1,1,6,11,0,0,0,
19,8,1,3,1,3,1,0,0,0,4,1,1,1,2,11,2,0,0,
2,5,1,15,1,0,2,0,0,2,0,0,1,0,2,10,2,0,1,2023-10-25
15,1,1,46,1,1,1,0,0,2,1,0,1,0,0,2,1,0,1,2021-02-08
5,2,1,9,1,0,2,0,0,1,1,0,1,0,6,2,0,0,1,2022-02-06
21,1,1,15,1,0,2,0,0,2,0,0,1,0,1,8,2,0,1,2022-08-30
0,1,1,15,1,0,2,0,0,2,0,0,1,0,6,10,2,0,0,
8,5,1,10,1,0,2,0,0,2,0,0,1,0,5,2,3,0,0,
12,2,1,47,1,1,1,0,0,1,0,0,1,0,5,6,3,0,0,
4,0,1,46,1,0,2,0,0,3,0,0,1,0,4,4,0,0,1,2023-04-07
0,5,1,4,1,1,1,0,0,2,0,0,1,0,5,1,2,0,1,2021-01-30
19,7,1,21,1,0,2,0,0,4,3,0,1,0,6,8,2,0,1,2021-08-01
16,5,1,7,1,0,2,0,0,3,0,0,1,1,3,7,1,0,0,
12,2,1,49,1,1,1,0,0,1,0,0,1,0,5,6,3,0,1,2021-06-19
5,1,1,58,0,0,2,0,0,0,6,1,1,0,4,2,3,0,0,
22,1,1,9,1,1,1,0,0,2,0,1,1,0,5,5,2,0,1,2023-05-06
12,1,1,7,1,0,2,0,0,1,0,0,1,0,6,12,3,0,1,2022-12-11
13,5,1,2,1,4,1,0,0,3,1,0,1,0,2,8,1,0,0,
19,0,1,27,1,0,3,0,0,0,0,0,1,0,1,6,2,0,1,2022-06-07
6,0,1,13,1,0,2,0,0,1,0,0,1,0,1,11,0,1,0,
11,2,1,7,1,0,2,0,3,4,1,0,1,0,2,7,3,0,1,2021-07-07
7,1,1,6,1,1,1,1,0,2,1,0,1,1,2,1,3,0,1,2023-01-25
12,1,1,46,1,0,2,0,1,3,0,0,1,0,5,2,3,0,1,2021-02-27
21,1,1,5,0,0,2,0,0,1,0,0,1,1,4,5,2,0,0,
16,2,1,35,1,1,1,1,0,2,1,0,1,1,0,12,1,0,0,
2,5,1,15,1,0,2,0,0,2,0,0,1,0,2,5,2,0,0,
17,4,1,26,1,1,1,0,0,3,0,0,1,1,2,12,1,0,1,2021-12-01
18,1,1,48,0,1,1,0,0,0,0,0,1,0,0,10,1,0,0,
6,8,1,56,1,1,1,0,0,3,0,0,1,0,1,5,0,1,1,2022-05-24
4,0,1,52,0,0,2,0,2,0,5,1,3,0,5,3,0,0,1,2021-03-06
11,1,1,6,1,1,1,0,0,2,0,0,1,0,1,12,3,0,1,2022-12-06
10,5,1,37,1,1,1,0,0,2,1,0,1,0,5,11,3,0,1,2021-11-13
8,6,1,35,1,1,1,0,0,1,0,0,1,0,1,8,3,0,1,2021-08-17
0,1,1,16,1,0,2,0,0,3,0,0,1,1,0,6,2,0,1,2023-06-12
18,1,1,12,1,0,2,0,3,2,0,0,1,0,0,9,1,0,1,2021-09-27
2,1,1,7,0,0,2,0,0,0,0,0,1,1,5,6,2,0,0,
20,1,1,61,1,1,1,0,0,2,0,0,1,0,0,9,2,0,1,2021-09-27
8,2,1,35,1,5,1,0,0,3,1,0,1,1,0,12,3,0,1,2023-12-18
9,1,1,24,1,4,1,0,0,3,1,0,1,0,1,11,3,1,0,
9,1,1,21,1,1,1,0,0,2,0,0,1,0,5,6,3,0,1,2022-06-18
19,1,1,1,1,0,2,0,0,2,0,0,1,0,2,6,2,0,0,
5,5,1,12,1,0,2,0,0,1,0,0,1,0,0,6,0,0,1,2021-06-21
19,0,2,40,1,0,2,0,0,3,0,0,1,0,0,8,2,0,1,2021-08-02
4,1,1,19,1,1,1,0,0,2,1,0,1,0,4,9,0,0,1,2022-09-09
1,1,1,38,1,1,1,0,0,2,0,0,1,0,3,7,2,0,0,
8,2,1,7,1,1,1,0,0,3,0,0,1,0,0,10,3,0,1,2022-10-24
14,2,2,15,1,1,1,0,0,0,0,0,1,0,2,3,1,0,0,
20,1,1,60,1,1,1,0,0,2,0,0,1,0,2,11,2,0,0,
20,5,1,26,1,1,1,0,0,1,0,0,1,0,4,4,2,0,1,2021-04-09
19,5,1,22,1,0,2,0,3,0,0,0,1,0,2,8,2,0,0,
17,4,1,7,1,1,1,1,0,2,1,0,1,0,5,10,1,0,1,2023-10-21
10,1,1,41,1,1,1,0,0,3,1,0,1,0,2,2,3,0,1,2023-02-22
20,1,1,37,1,1,1,0,0,2,0,0,1,0,5,6,2,0,1,2022-06-18
20,1,1,41,1,1,1,0,0,2,1,0,1,0,2,8,2,0,1,2023-08-30
23,0,1,16,1,0,2,0,0,2,0,1,1,0,3,8,2,0,1,2023-08-31
8,2,1,35,1,1,1,1,0,3,1,0,1,0,1,2,3,0,1,2021-02-16
17,0,1,31,1,1,1,0,0,3,0,1,1,0,6,8,1,0,1,2023-08-27
4,2,1,24,0,1,1,0,1,0,0,0,1,0,5,10,0,0,0,
19,5,1,37,1,1,1,0,0,3,1,0,1,0,0,2,2,0,0,
5,0,1,21,1,0,2,0,0,2,0,0,1,0,0,11,0,0,1,2022-11-28
8,1,1,31,1,1,1,0,0,2,1,0,1,0,0,8,3,0,1,2023-08-28
19,4,1,27,1,1,1,0,0,3,0,0,1,0,2,12,2,0,1,2021-12-15
19,2,1,31,1,0,2,0,0,2,0,0,1,0,2,3,2,0,1,2023-03-22
21,1,1,76,1,0,2,0,0,2,4,0,1,1,4,7,2,0,0,
2,2,1,8,1,1,1,0,0,3,1,0,4,0,6,8,2,0,0,
19,5,1,19,1,0,2,0,0,2,4,1,1,0,0,8,2,0,0,
9,0,1,27,0,0,2,0,0,0,4,1,2,0,2,9,3,0,0,
3,0,1,10,1,0,2,0,0,2,0,1,1,1,2,11,0,0,0,
14,0,1,43,0,0,2,0,0,0,4,0,1,1,6,3,1,0,0,
13,2,1,46,1,0,2,0,0,2,0,0,1,0,1,8,1,0,1,2022-08-23
7,1,1,30,1,1,1,0,0,3,1,0,1,0,0,1,3,0,0,
17,7,1,10,1,0,2,0,0,1,0,0,1,0,3,3,1,0,1,2021-03-11
10,5,1,31,1,1,1,0,0,3,0,0,1,0,2,10,3,0,1,2023-10-04
20,0,1,7,1,5,1,0,0,3,1,1,0,0,0,3,2,0,1,2021-03-29
5,2,1,18,1,1,1,0,0,2,0,0,1,1,5,11,0,0,1,2022-11-12
13,1,1,15,1,1,1,0,0,2,0,0,1,0,5,1,1,0,1,2021-01-23
4,5,1,7,1,0,2,0,0,0,0,0,1,0,6,11,0,0,0,
23,1,1,24,1,0,2,0,0,2,0,0,1,0,6,5,2,0,1,2023-05-21
20,2,1,4,1,0,2,0,0,1,0,0,1,0,5,11,2,0,1,2022-11-12
4,2,1,3,1,0,2,0,0,2,0,0,1,0,0,1,0,0,0,
22,5,1,20,1,0,2,0,0,2,0,1,1,0,0,6,2,0,0,
7,3,1,10,1,4,1,0,0,3,0,1,1,1,1,5,3,1,1,2023-05-30
18,0,1,25,1,0,0,0,0,2,1,0,4,0,1,4,1,1,1,2022-04-05
2,0,1,58,1,4,1,1,0,3,1,0,1,0,1,6,2,1,0,
10,1,1,20,0,1,1,0,0,1,0,0,1,0,5,4,3,0,0,
23,1,1,23,1,0,2,0,0,2,0,0,1,0,6,5,2,0,0,
15,1,1,1,1,1,1,0,0,3,4,1,1,0,1,8,1,0,0,
15,1,1,2,1,1,1,0,1,3,0,1,1,0,2,3,1,0,0,
17,1,1,1,1,1,1,0,0,3,0,0,1,0,4,12,1,0,0,
15,4,1,21,1,1,1,0,0,2,0,1,1,0,1,6,1,0,0,
20,5,1,31,1,0,2,0,0,1,1,0,1,0,2,2,2,0,1,2022-02-02
23,1,1,31,1,0,2,0,0,3,0,1,1,0,6,7,2,0,1,2023-07-02
20,2,1,18,1,1,1,0,0,2,0,0,1,0,4,8,2,0,0,
19,6,1,44,0,0,0,0,0,0,0,0,1,0,2,8,2,0,1,2022-08-10
17,2,2,17,0,0,0,0,0,0,4,1,1,1,2,2,1,0,1,2022-02-02
23,2,1,23,1,4,1,0,0,3,1,0,1,0,1,1,2,1,1,2023-01-17
14,5,1,24,1,1,1,0,0,3,0,0,1,0,3,3,1,0,0,
16,4,1,47,1,1,1,0,1,2,1,0,1,0,6,12,1,0,1,2021-12-26
4,4,1,21,1,1,1,1,3,4,1,0,1,0,6,8,0,0,1,2021-08-22
1,1,1,31,1,1,1,0,0,2,0,0,1,0,0,1,2,0,1,2021-01-04
14,0,1,23,1,1,2,0,0,2,4,0,1,1,1,7,1,0,0,
6,2,1,7,1,4,1,0,0,2,1,0,1,0,2,9,0,0,1,2023-09-27
20,5,1,42,1,1,1,0,0,1,1,0,1,0,5,2,2,0,1,2021-02-13
20,1,1,39,1,1,1,0,0,2,5,1,1,1,5,7,2,0,0,
15,2,1,2,1,1,1,0,0,2,1,0,1,0,2,10,1,0,1,2022-10-12
