FECHA_SINIESTRO,HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_DE_VEHICULOS_DANADOS,DISTRITO,ZONA,TIPO_DE_VIA,RED_VIAL,EXISTE_CICLOVIA,COORDENADAS_LATITUD,COORDENADAS_LONGITUD,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_DE_VIA,PERFIL_LONGITUDINAL_VIA,SUPERFICIE_DE_CALZADA,SENALIZACION,DIA_DE_LA_SEMANA,MES,PERIODO_DEL_DIA,FERIADO,ACCIDENTE
2021-06-01,8,1,1,15,1,1,1,0,-11.954411,-77.076149,0,1,0,0,1,0,1,6,3,0,1
2021-06-01,10,1,1,10,1,0,2,0,-11.839958,-77.105521,1,1,0,0,2,0,1,6,3,0,1
2021-06-01,21,2,1,16,1,0,2,0,-11.995138,-76.832106,0,1,0,0,2,0,1,6,2,0,1
2022-06-01,15,1,1,17,1,0,2,0,-11.594394857044657,-77.20144803209064,0,2,0,0,1,0,2,6,1,0,1
2023-06-01,23,0,1,18,1,2,1,1,-12.081534242873907,-77.10680099489718,0,2,0,1,1,0,3,6,2,0,1
2023-06-01,23,2,1,19,1,1,1,0,-12.2397639,-76.91231399,0,2,2,0,1,1,3,6,2,0,1
2021-07-01,20,4,1,20,1,0,2,0,-12.132164945357,-76.97838078248924,0,2,0,0,1,0,3,7,2,0,1
2023-07-01,5,5,1,2,0,1,1,0,-12.17406405,-76.91577526,0,0,0,1,1,0,5,7,0,0,1
2023-07-01,10,1,1,18,1,1,1,0,-12.08921167,-77.08538817,0,3,1,0,1,1,5,7,3,0,1
2023-07-01,22,1,1,20,1,0,2,0,-12.11145463,-76.97827634,0,2,0,1,1,1,5,7,2,0,1
2021-08-01,19,7,1,21,1,0,2,0,-12.020936452251252,-77.05918365829173,0,4,3,0,1,0,6,8,2,0,1
2023-08-01,11,2,1,7,1,1,1,0,-11.9111118,-77.0456108,0,2,0,0,1,1,1,8,3,0,1
2021-09-01,5,2,2,22,0,0,2,0,-10.599986435299568,-77.87112052775612,2,0,0,0,1,0,2,9,0,0,1
2021-09-01,17,1,1,23,1,1,1,0,-11.81507,-77.1277,3,3,0,0,1,0,2,9,1,0,1
2021-09-01,17,1,1,24,1,1,1,1,-12.159394810974108,-76.95887978807589,0,2,1,0,1,1,2,9,1,0,1
2021-10-01,19,2,2,25,0,0,2,0,-10.856982110062484,-77.69072533603766,0,0,0,0,1,0,4,10,2,0,1
2021-10-01,19,5,1,26,1,1,1,0,-11.98678826956822,-77.01574397392685,0,2,0,0,1,0,4,10,2,0,1
2022-10-01,4,2,1,27,0,1,1,0,-12.12782265661004,-76.82059050697266,1,0,0,0,1,0,5,10,0,0,1
2022-10-01,5,2,1,28,0,0,2,0,-10.66644,-77.736418,0,0,0,0,1,0,5,10,0,0,1
2021-11-01,20,0,1,2,1,1,1,0,-12.21202,-76.903176,0,1,1,0,1,0,0,11,2,0,1
2022-11-01,6,0,1,29,1,0,2,0,-12.459259897902475,-76.75292140903727,0,1,0,0,1,0,1,11,0,1,1
2022-11-01,7,1,1,21,1,1,1,0,-11.983233492095652,-77.09830779960501,0,2,0,0,1,0,1,11,3,1,1
2023-11-01,5,1,1,15,1,1,1,0,-11.96297688,-77.0632051,0,3,0,0,1,0,2,11,0,0,1
2023-11-01,19,8,1,5,1,3,1,0,-12.16949027,-77.03635813,0,0,4,1,1,1,2,11,2,0,1
2021-12-01,17,4,1,26,1,1,1,0,-11.982914,-76.993324,0,3,0,0,1,1,2,12,1,0,1
2023-01-02,0,5,1,30,1,0,2,0,-12.040883004231532,-77.03392535182245,0,2,0,0,1,0,0,1,2,0,1
2023-01-02,3,1,1,24,1,0,2,0,-12.162271,-76.981829,0,2,0,0,1,0,0,1,0,0,1
2023-01-02,4,2,1,10,1,0,2,0,-11.856181,-77.085165,0,2,0,0,1,0,0,1,0,0,1
2022-02-02,10,1,1,21,1,0,2,0,-12.020893494197905,-77.05935531665118,0,3,1,0,1,0,2,2,3,0,1
2022-02-02,17,2,2,17,0,0,0,0,-11.54525144010356,-77.18249017714855,0,0,4,1,1,1,2,2,1,0,1
2022-02-02,20,5,1,31,1,0,2,0,-12.012293875275123,-76.87820424799322,0,1,1,0,1,0,2,2,2,0,1
2023-02-02,17,2,1,19,1,1,1,0,-12.22761005,-76.91558296,0,2,1,0,1,0,3,2,1,0,1
2022-03-02,14,2,2,32,1,1,1,0,-12.077486903906868,-77.03673355030094,0,0,0,0,1,0,2,3,1,0,1
2023-03-02,3,2,2,14,0,0,2,0,-11.071165237804934,-77.58512732558226,0,0,0,1,1,0,3,3,0,0,1
2023-04-02,4,5,1,33,1,0,2,0,-12.316674301303449,-76.83106026157697,0,0,0,0,1,0,6,4,0,1,1
2023-04-02,7,6,1,4,0,0,2,0,-12.021318,-76.930528,0,0,0,0,1,0,6,4,3,1,1
2023-04-02,11,1,1,7,1,1,1,0,-11.957287243185698,-77.05289503640583,0,2,0,0,1,0,6,4,3,1,1
2023-04-02,21,1,1,34,1,0,2,0,-10.92414,-77.65299,0,3,0,0,1,1,6,4,2,1,1
2021-05-02,9,2,1,35,1,1,1,0,-12.053072448541595,-77.01305632819688,1,1,0,0,1,0,6,5,3,0,1
2022-05-02,5,1,1,36,1,0,2,0,-12.478985,-76.74743,0,1,0,0,1,0,0,5,0,0,1
2022-05-02,15,1,1,15,1,1,1,0,-12.012219,-77.078756795,0,2,0,0,1,0,0,5,1,0,1
2022-05-02,15,0,1,37,1,1,1,0,-12.040892,-76.961945,0,3,0,0,1,0,0,5,1,0,1
2022-05-02,19,2,1,38,1,1,1,0,-12.098821,-76.046904,0,3,1,0,1,0,0,5,2,0,1
2021-07-02,15,2,1,5,1,1,1,0,-12.196577,-76.990935,0,1,0,0,1,0,4,7,1,0,1
2021-07-02,15,1,1,15,1,0,2,0,-11.967712,-77.067618,0,1,0,0,1,0,4,7,1,0,1
2022-07-02,1,5,1,12,1,1,1,0,-12.243900000499872,-76.90951799846174,0,2,0,0,1,0,5,7,2,0,1
2022-07-02,2,5,1,39,1,1,1,0,-12.0781808,-77.0803376,0,2,0,0,1,0,5,7,2,0,1
2023-07-02,2,7,1,15,1,4,1,0,-12.00521106,-77.08052456,0,3,0,1,1,0,6,7,2,0,1
2023-07-02,23,1,1,31,1,0,2,0,-12.017291,-76.897926,0,3,0,1,1,0,6,7,2,0,1
2023-07-02,23,5,1,12,0,0,2,0,-12.257932560259317,-76.91872174565239,0,0,0,0,1,0,6,7,2,0,1
2021-08-02,19,0,2,40,1,0,2,0,-12.38429587608215,-76.77102851603604,0,3,0,0,1,0,0,8,2,0,1
2022-09-02,1,0,1,35,1,5,1,0,-12.051548714378525,-77.03661018722241,0,2,0,0,1,0,4,9,2,0,1
2023-09-02,1,0,1,41,1,1,1,0,-12.0884082,-77.00519157,0,2,0,0,1,0,5,9,2,0,1
2023-09-02,20,1,1,42,1,1,1,0,-11.8645445,-77.01586153,0,3,1,0,1,0,5,9,2,0,1
2023-10-02,12,1,1,4,1,1,1,0,-12.00262488,-76.86713909,0,2,0,0,1,0,0,10,3,0,1
2023-10-02,19,0,1,9,1,1,1,0,-11.99322374,-77.05684144,0,2,0,0,1,0,0,10,2,0,1
2021-11-02,18,2,1,10,1,0,2,0,-11.853004,-77.089262,0,2,0,0,1,0,1,11,1,1,1
2023-11-02,4,1,1,21,1,1,1,0,-12.03225906,-77.06423077,0,2,0,0,1,0,3,11,0,0,1
2023-11-02,5,1,1,26,1,1,1,0,-12.02576411,-77.01010623,0,2,4,0,1,0,3,11,0,0,1
2023-11-02,11,5,1,40,1,0,2,0,-12.381164,-76.774431,0,0,0,0,1,0,3,11,3,0,1
2023-11-02,17,2,1,26,1,1,1,0,-12.01796391,-77.00180065,0,2,0,0,1,0,3,11,1,0,1
2023-11-02,19,1,1,31,1,0,2,0,-12.009693,-76.868245,0,1,0,0,1,1,3,11,2,0,1
2021-12-02,17,2,1,4,1,6,1,0,-12.011532,-76.891939,0,3,0,1,1,0,3,12,1,0,1
2022-12-02,8,2,1,31,1,0,2,0,-12.01503277091015,-76.90017695554093,0,2,0,0,1,0,4,12,3,0,1
2022-12-02,22,0,1,4,1,0,2,0,-11.944786203706464,-76.7097334987167,0,2,4,0,1,1,4,12,2,0,1
2023-12-02,16,0,1,10,1,1,1,0,-11.82183549,-77.10313954,0,3,0,1,0,0,5,12,1,0,1
2023-12-02,19,1,1,42,1,0,2,0,-11.89026193,-77.04416421,0,2,1,0,1,0,5,12,2,0,1
2021-01-03,0,5,1,19,1,0,2,0,-12.225604,-76.971698,1,2,0,0,1,0,6,1,2,0,1
2021-01-03,16,0,1,43,0,0,2,0,-10.88706939738808,-76.98079339602495,2,0,5,0,1,1,6,1,1,0,1
2022-01-03,19,2,1,5,1,0,2,0,-12.221114594425702,-76.97614819371015,0,4,1,0,1,0,0,1,2,0,1
2022-01-03,22,2,1,10,1,0,2,0,-11.890384903545833,-77.06837829493487,0,2,0,0,1,0,0,1,2,0,1
2023-01-03,11,1,1,7,1,5,1,0,-11.93560076,-77.05045653,0,3,0,0,1,1,1,1,3,1,1
2022-02-03,6,1,1,26,1,1,1,0,-12.0240652,-76.9779903,0,1,0,0,1,0,3,2,0,0,1
2022-02-03,13,1,1,19,1,1,1,0,-12.195677361150429,-76.9590793694863,0,2,0,0,1,0,3,2,1,0,1
2023-02-03,4,7,1,44,0,0,0,0,-11.23685,-77.39496,0,0,4,0,1,0,4,2,0,0,1
2023-03-03,3,0,1,42,1,1,1,0,-11.87101077,-77.01986016,0,3,0,0,1,0,4,3,0,0,1
2023-03-03,11,3,1,35,1,1,1,0,-12.045833096595024,-77.02559551938322,0,2,0,0,1,0,4,3,3,0,1
2021-04-03,10,1,1,21,0,1,1,0,-12.015548,-77.052266,0,1,0,0,1,0,5,4,3,0,1
2023-04-03,6,2,1,45,1,2,1,0,-12.097690075769856,-77.07298478904971,0,2,0,0,1,0,0,4,0,0,1
2021-05-03,6,1,1,46,1,0,2,0,-12.033464037862172,-76.99048730611834,1,1,0,0,1,0,0,5,0,0,1
2021-05-03,15,1,1,7,1,1,1,0,-11.905596557455068,-77.04212480216349,0,1,0,0,1,0,0,5,1,0,1
2023-05-03,10,1,1,26,1,5,1,0,-11.96311927,-76.98319507,0,3,1,0,1,0,2,5,3,0,1
2021-06-03,13,2,1,19,1,1,1,0,-12.23578,-76.9232,0,1,0,0,1,0,3,6,1,0,1
2021-06-03,17,2,1,35,1,5,1,0,-12.053264648063148,-77.06394977468713,0,1,0,0,1,0,3,6,1,0,1
2023-06-03,18,1,1,35,0,1,1,0,-12.055194789607144,-77.030261418098,0,2,1,0,1,0,5,6,1,0,1
2023-06-03,19,1,1,29,1,1,1,0,-12.49241469,-76.78754177,0,4,0,0,1,0,5,6,2,0,1
2021-07-03,1,2,1,47,1,1,1,0,-12.059242242659254,-77.02981069274405,0,1,0,0,2,0,5,7,2,0,1
2021-07-03,19,2,1,31,1,1,1,0,-12.064744,-76.978404,0,2,0,0,2,0,5,7,2,0,1
2021-07-03,22,1,1,31,1,0,2,0,-12.00750801125261,-76.85646207678862,0,1,0,0,2,0,5,7,2,0,1
2022-07-03,20,0,1,28,1,0,2,0,-10.661403010346053,-77.77216329846316,3,0,0,0,1,0,6,7,2,0,1
2021-08-03,15,1,1,7,1,1,1,0,-11.945384,-77.063179,0,4,0,0,1,0,1,8,1,0,1
2021-08-03,17,2,2,42,1,1,1,0,-11.8635734,-77.008134,0,0,0,0,1,0,1,8,1,0,1
2021-09-03,13,1,1,19,1,1,1,1,-12.224591563708854,-76.9388602205455,0,3,0,0,1,0,4,9,1,0,1
2021-09-03,22,5,1,22,0,0,2,0,-10.599432782782976,-77.87115271263951,2,0,0,0,1,0,4,9,2,0,1
2022-09-03,16,2,2,47,1,3,1,0,-12.05826931745082,-77.02332743744901,0,2,0,0,1,0,5,9,1,0,1
2021-10-03,4,2,2,13,1,1,1,0,-10.752897390545105,-77.75814059112236,2,2,1,0,1,0,6,10,0,0,1
2021-10-03,7,2,2,13,0,0,3,0,-10.77671786202964,-77.74506182475308,0,0,0,0,1,0,6,10,3,0,1
2021-10-03,12,0,1,21,1,1,1,0,-11.9907417,-77.0930204,0,2,1,0,1,0,6,10,3,0,1
2022-10-03,7,1,1,5,1,1,1,0,-12.182793437982792,-76.99984942508037,0,2,0,0,1,0,0,10,3,0,1
2021-11-03,5,1,1,37,1,1,1,1,-12.035626064550764,-76.94892346442275,0,2,0,0,1,0,2,11,0,0,1
2021-11-03,11,1,1,21,1,2,1,0,-11.98185556481486,-77.10788603762292,0,3,0,0,1,0,2,11,3,0,1
2022-11-03,0,7,1,18,1,2,1,0,-12.086806019114182,-77.09402020708224,0,2,0,0,1,1,3,11,2,0,1
2023-11-03,3,1,1,30,1,0,2,0,-12.04125586,-77.03303703,0,2,0,0,1,1,4,11,0,0,1
2022-12-03,7,1,1,42,1,1,1,0,-11.87342,-77.01557,0,2,1,0,1,0,5,12,3,0,1
2022-12-03,12,1,1,12,1,1,1,0,-12.25298748930224,-76.89355283461006,0,2,0,0,1,0,5,12,3,0,1
2021-01-04,1,1,1,31,1,1,1,0,-12.026010259318932,-76.91912179578782,0,2,0,0,1,0,0,1,2,0,1
2022-01-04,10,1,1,21,1,0,2,0,-12.02323,-77.058815,0,2,0,0,1,0,1,1,3,1,1
2022-01-04,20,0,1,21,1,1,1,0,-11.987278,-77.103042,0,2,1,0,1,0,1,1,2,1,1
2023-01-04,4,2,1,20,1,0,2,0,-12.131482,-76.978481,0,2,0,0,1,0,2,1,0,0,1
2021-03-04,6,2,2,48,1,0,2,0,-11.112764002167914,-77.59242894031976,0,0,0,0,1,1,3,3,0,0,1
2021-03-04,20,4,1,26,1,1,1,0,-11.961697,-76.982522,0,0,5,1,1,0,3,3,2,0,1
2023-03-04,2,1,1,33,0,0,2,0,-12.308394055205584,-76.83660706823704,0,2,0,0,1,0,5,3,2,0,1
2021-04-04,21,1,1,34,1,0,2,0,-10.928013700836738,-77.65143687572593,0,4,0,0,1,1,6,4,2,1,1
2022-04-04,8,0,1,0,0,0,2,0,-11.48223689255879,-77.14968139972801,0,0,5,0,1,0,0,4,3,0,1
2023-04-04,20,2,1,44,0,0,0,0,-11.224487471941933,-77.40246346063294,0,0,0,0,1,0,1,4,2,1,1
2021-06-04,8,1,1,3,1,1,1,0,-12.086141,-76.895195,0,1,0,0,1,0,4,6,3,0,1
2023-06-04,7,5,1,19,0,0,2,0,-12.235937,-76.956483,0,0,0,0,1,0,6,6,3,0,1
2023-06-04,7,5,1,20,1,0,2,0,-12.136873,-76.980469,0,3,0,0,1,1,6,6,3,0,1
2023-06-04,22,2,1,23,0,0,2,0,-11.79253,-77.146759,0,0,0,0,1,0,6,6,2,0,1
2021-07-04,3,4,1,20,1,0,2,0,-12.131299,-76.978347,0,3,0,0,1,0,6,7,0,0,1
2022-07-04,3,7,1,49,1,2,1,0,-12.1522147,-77.0244595,0,3,0,0,1,0,0,7,0,0,1
2023-07-04,18,1,1,5,1,1,1,0,-12.19904625,-76.9973279,0,3,1,0,1,0,1,7,1,0,1
2021-08-04,13,5,1,5,1,4,1,0,-12.17003,-77.02477,0,3,1,0,1,0,2,8,1,0,1
2022-08-04,15,1,1,47,1,1,1,0,-12.06438623872198,-77.02921847721872,0,2,1,0,1,1,3,8,1,0,1
2023-08-04,6,2,1,19,1,1,1,0,-12.19513605,-76.93483296,0,2,1,1,1,0,4,8,0,0,1
2021-09-04,16,1,1,46,1,1,1,0,-12.030794980090976,-76.99901098728667,0,3,1,0,1,0,5,9,1,0,1
2022-09-04,2,2,1,47,1,1,1,0,-12.05921,-77.029814,0,2,1,0,1,0,6,9,2,0,1
2022-09-04,2,5,1,33,0,0,0,0,-12.29404855540356,-76.77507500176101,0,0,0,0,0,0,6,9,2,0,1
2021-10-04,14,2,2,28,0,0,2,0,-10.660912731104885,-77.61419528129836,1,0,0,0,1,0,0,10,1,0,1
2022-10-04,17,1,1,3,1,0,3,0,-12.085930019709732,-76.89798830105987,0,3,0,0,1,0,1,10,1,0,1
2023-10-04,10,5,1,31,1,1,1,0,-12.0268189,-76.9497764,0,3,0,0,1,0,2,10,3,0,1
2021-12-04,19,0,2,15,1,1,1,0,-11.976829134541228,-77.08142900205921,0,3,1,0,1,0,5,12,2,0,1
2022-12-04,2,0,1,50,1,2,1,1,-12.124826741634587,-77.03950830798374,0,2,0,0,1,1,6,12,2,0,1
2023-12-04,0,0,1,7,1,1,1,0,-11.90797158,-77.04385492,0,4,0,0,1,1,0,12,2,0,1
2023-12-04,2,1,1,15,1,0,2,0,-11.96652,-77.067755,0,2,0,0,1,1,0,12,2,0,1
2023-12-04,18,1,1,31,1,0,2,0,-12.006244,-76.848847,0,2,4,0,1,0,0,12,1,0,1
2021-01-05,23,5,1,25,1,0,2,0,-10.788981442173975,-77.71142585156548,0,0,0,1,1,0,1,1,2,1,1
2022-01-05,6,2,1,24,1,0,2,0,-12.172018297607602,-76.97873171240589,0,3,0,0,1,0,2,1,0,0,1
2021-02-05,14,1,1,51,0,0,3,0,-10.572365864241098,-77.15383704151937,3,0,5,1,3,0,4,2,1,0,1
2022-02-05,7,2,1,5,1,1,1,0,-12.187631641683383,-76.99171043981733,0,1,1,0,1,0,5,2,3,0,1
2021-03-05,0,0,1,21,1,1,1,0,-12.031772,-77.077474,0,2,1,0,1,0,4,3,2,0,1
2021-03-05,19,1,1,35,1,5,1,0,-12.050964,-77.039908,0,3,1,0,1,1,4,3,2,0,1
2021-03-05,21,1,1,24,1,0,2,0,-12.185667,-76.974538,0,0,0,0,1,0,4,3,2,0,1
2023-03-05,12,2,1,5,1,1,1,1,-12.19529584,-77.00127544,0,2,1,0,1,0,6,3,3,0,1
2022-04-05,18,0,1,25,1,0,0,0,-10.816402162778536,-77.7174276384288,0,2,1,0,4,0,1,4,1,1,1
2021-05-05,19,2,2,13,0,0,2,1,-10.7369133660656,-77.74969622049346,0,0,0,0,1,0,2,5,2,0,1
2021-05-05,21,1,1,35,1,1,1,0,-12.044108,-77.046872,0,1,0,0,1,0,2,5,2,0,1
2021-06-05,18,2,2,13,0,0,2,1,-10.74335385211497,-77.74478858668942,0,0,0,0,1,0,5,6,1,0,1
2022-06-05,3,2,1,5,1,1,1,0,-12.195909865191556,-77.00061983499798,0,2,4,0,1,0,6,6,0,0,1
2022-06-05,8,0,1,42,1,1,1,0,-11.8809297,-77.02161,0,4,0,0,1,0,6,6,3,0,1
2022-06-05,12,2,1,31,1,1,1,0,-12.022756096625134,-76.91190355430972,0,2,0,0,0,0,6,6,3,0,1
2021-07-05,21,5,1,21,1,1,1,0,-12.001002,-77.090998,0,2,1,0,1,0,0,7,2,0,1
2022-07-05,5,0,1,5,1,1,1,0,-12.18942855906315,-77.0072448974895,0,2,0,0,1,0,1,7,0,0,1
2022-07-05,11,1,1,21,1,1,1,0,-11.991583421555264,-77.10776831454098,0,2,0,0,1,0,1,7,3,0,1
2022-07-05,22,1,1,30,1,1,1,0,-12.030284,-77.029465,0,2,0,0,1,0,1,7,2,0,1
2023-07-05,10,1,1,47,1,5,1,0,-12.057922755933795,-77.0172660988245,0,3,4,0,1,1,2,7,3,0,1
2021-08-05,10,2,2,21,1,1,1,0,-11.981456751057491,-77.09696517185316,0,2,0,0,1,0,3,8,3,0,1
2021-08-05,10,1,1,47,1,1,1,0,-12.06384,-77.021884,1,2,0,0,1,0,3,8,3,0,1
2022-08-05,18,2,2,37,1,1,1,0,-12.040577742625416,-76.9827142759373,0,2,1,0,1,0,4,8,1,0,1
2021-09-05,6,1,1,15,1,1,1,1,-11.995378150934302,-77.07985320453479,0,3,1,0,1,0,6,9,0,0,1
2022-09-05,11,0,1,7,1,1,1,1,-11.926374,-77.04708,0,3,0,0,1,0,0,9,3,0,1
2021-10-05,14,1,1,9,1,1,1,0,-12.00935130226224,-77.05182857230899,0,3,0,0,1,0,1,10,1,0,1
2021-11-05,7,3,1,10,1,0,2,0,-11.899768,-77.067954,0,2,0,0,1,0,4,11,3,0,1
2021-11-05,14,2,2,26,1,0,2,0,-12.024278499330748,-76.96404421516526,0,3,0,0,1,0,4,11,1,0,1
2021-11-05,22,2,1,21,1,0,2,0,-12.026782,-77.058355,0,2,1,0,1,0,4,11,2,0,1
2021-11-05,23,5,1,24,1,0,2,0,-12.184364,-76.974964,0,3,0,0,1,0,4,11,2,0,1
2022-11-05,22,1,1,10,1,0,2,0,-11.8662825,-77.0735316127,0,2,0,0,1,0,5,11,2,0,1
2023-11-05,6,2,1,7,1,1,1,0,-11.92577677,-77.05206846,0,2,1,0,1,1,6,11,0,0,1
2021-12-05,0,1,1,31,1,0,2,0,-12.012510749146264,-76.87878810644341,0,3,0,0,5,0,6,12,2,0,1
2021-12-05,7,2,2,17,0,0,2,0,-11.569692,-77.202781,0,0,0,0,1,0,6,12,3,0,1
2021-12-05,15,1,1,31,1,0,2,0,-12.072798427511898,-76.97388851495127,1,3,0,0,1,1,6,12,1,0,1
2021-12-05,21,1,2,25,0,0,2,0,-10.829079376898283,-77.70009623782502,0,0,0,0,1,0,6,12,2,0,1
2022-12-05,17,2,3,34,0,0,2,0,-10.98525573145307,-77.64325434119341,0,2,0,0,1,0,0,12,1,0,1
2022-12-05,18,0,1,4,1,1,1,0,-11.97631213196792,-76.78678259760014,0,3,0,0,4,0,0,12,1,0,1
2022-12-05,20,1,1,1,1,0,0,0,-12.149398443350512,-76.87106961727629,0,3,1,0,1,0,0,12,2,0,1
2022-12-05,23,0,1,21,1,1,1,0,-11.985932,-77.086157,0,3,0,0,1,0,0,12,2,0,1
2021-01-06,20,2,1,5,1,1,1,0,-12.173039,-76.995706,0,2,0,0,1,0,2,1,2,0,1
2022-02-06,5,2,1,9,1,0,2,0,-11.990121634387853,-77.06409531702582,0,1,1,0,1,0,6,2,0,0,1
2022-02-06,18,0,1,24,1,1,1,0,-12.150639692803448,-76.98046831877359,0,2,0,0,1,0,6,2,1,0,1
2021-03-06,3,1,1,7,1,0,2,0,-11.939114,-77.071492,0,3,6,0,1,0,5,3,0,0,1
2021-03-06,4,0,1,52,0,0,2,0,-11.129518303906018,-76.62382890757128,2,0,5,1,3,0,5,3,0,0,1
2022-03-06,5,6,2,48,1,0,0,0,-11.093917881550526,-77.58225736843556,0,3,0,0,1,0,6,3,0,0,1
2021-04-06,10,2,1,46,1,1,1,0,-12.054878,-77.004339,0,1,0,0,1,0,1,4,3,1,1
2023-04-06,18,5,1,21,1,1,1,1,-11.98188834,-77.09332269,0,3,0,0,1,0,3,4,1,0,1
2021-05-06,13,1,1,16,1,0,2,0,-11.9919966,-76.8256921,0,1,0,0,2,0,3,5,1,0,1
2022-05-06,13,1,1,26,1,1,1,0,-11.932928,-76.9689526,1,1,0,0,1,0,4,5,1,0,1
2022-05-06,20,1,1,21,1,1,1,0,-12.0317643,-77.06835133,0,2,0,0,1,0,4,5,2,0,1
2023-05-06,9,1,1,26,1,1,1,0,-11.96782396,-77.00390032,0,2,0,0,1,0,5,5,3,0,1
2023-05-06,15,2,1,20,0,0,2,0,-12.143686,-76.981723,0,1,0,0,1,0,5,5,1,0,1
2023-05-06,22,1,1,9,1,1,1,0,-12.002167065249218,-77.05499941826353,0,2,0,1,1,0,5,5,2,0,1
2021-06-06,17,0,1,13,0,0,0,0,-10.72998257511273,-77.73991223413996,3,0,0,0,0,0,6,6,1,0,1
2021-06-06,23,4,1,20,1,1,1,0,-12.128586,-76.997693,0,1,0,0,2,0,6,6,2,0,1
2022-06-06,9,1,1,26,0,0,0,0,-11.883623699527789,-76.95503377748341,0,0,0,0,1,0,0,6,3,0,1
2023-06-06,9,3,1,26,1,1,1,0,-11.97699222,-77.00305921,0,4,4,0,1,0,1,6,3,0,1
2023-06-06,20,1,1,11,1,4,1,0,-12.10971142,-77.01165375,0,4,0,0,1,0,1,6,2,0,1
2021-07-06,10,0,1,44,0,0,2,0,-11.191100360128829,-77.30334008873774,0,0,0,0,1,0,1,7,3,0,1
2021-07-06,20,5,1,26,1,1,1,0,-11.990197,-77.015389,3,2,1,0,1,0,1,7,2,0,1
2023-07-06,5,1,1,42,1,1,1,0,-11.871983,-77.014637,0,2,0,1,1,0,3,7,0,0,1
2023-07-06,17,1,1,30,1,1,1,1,-12.01505771,-77.05182867,0,2,1,0,1,1,3,7,1,0,1
2022-08-06,7,0,1,14,1,0,3,0,-11.06668,-77.59831,0,3,0,0,1,0,5,8,3,0,1
2023-08-06,20,1,1,31,1,1,1,0,-12.05378017,-76.96227819,0,2,1,0,1,0,6,8,2,0,1
2021-10-06,17,1,1,20,1,0,2,0,-12.13134804927549,-76.97835262250652,0,2,0,0,1,0,2,10,1,0,1
2023-10-06,4,1,1,7,1,1,1,0,-11.92211197,-77.0421882,0,3,0,0,1,0,4,10,0,0,1
2022-11-06,1,5,1,12,1,0,2,0,-12.257543,-76.919539,0,2,0,0,1,0,6,11,2,0,1
